ที่,ประเภท อปท.,ชื่อ,ตำบล,อำเภอ,จังหวัด,ป่าสงวนฯ,ปีที่ถ่ายโอนภารกิจ,พื้นที่รับผิดชอบ,ชื่อหน่วยงาน,lat,long,พื้นที่เสี่ยง,บันทึกกรมป่าไม้,บันทึกกรมอุทยาน,แผนที่
1612,องค์การบริหารส่วนตำบล,ค้อเหนือ,ค้อเหนือ,เมืองยโสธร,ยโสธร,555.8,2555,สจป.7 สาขาอุบลราชธานี,องค์การบริหารส่วนตำบลค้อเหนือ,15.8583284,104.0738034,50,,,
1613,องค์การบริหารส่วนตำบล,ดู่ทุ่ง,ดู่ทุ่ง,เมืองยโสธร,ยโสธร,"2,607.47",2555,สจป.7 สาขาอุบลราชธานี,องค์การบริหารส่วนตำบลดู่ทุ่ง,15.8826384,104.076454,45,,,
1614,เทศบาลตำบล,เดิด,เดิด,เมืองยโสธร,ยโสธร,"2,252.20",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลเดิด,15.90885108,104.0646845,50,,,
1615,เทศบาลตำบล,ทุ่งแต้,ทุ่งแต้,เมืองยโสธร,ยโสธร,"3,626.53",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลทุ่งแต้,15.893358,104.181795,50,,,
1616,องค์การบริหารส่วนตำบล,ทุ่งนางโอก,ทุ่งนางโอก,เมืองยโสธร,ยโสธร,674.6,2550,สจป.7 สาขาอุบลราชธานี,องค์การบริหารส่วนตำบลทุ่งนางโอก,15.8862087,104.1618818,45,,https://drive.google.com/file/d/1q1e4-2nK6JevFMthsQrQlMaT6FOzU1Ed/view?usp=drive_link,https://drive.google.com/file/d/1T8-f0c09gdtKwts8NdmUpfHfHpvF5OCD/view?usp=drive_link
1617,เทศบาลตำบล,นาสะไมย์,นาสะไมย์,เมืองยโสธร,ยโสธร,"2,388.24",2549,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลนาสะไมย์,15.88109163,104.2408843,45,,https://drive.google.com/file/d/1XxytqMfHAJQCkShYTBEsO0vHDDv5e6YM/view?usp=drive_link,https://drive.google.com/file/d/1jm21LjBflTecQQ6HuUjK31ZihQEtA-PT/view?usp=drive_link
1618,เทศบาลตำบล,สำราญ,สำราญ,เมืองยโสธร,ยโสธร,346.46,2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลสำราญ,15.8540104,104.0945487,45,,,
1619,องค์การบริหารส่วนตำบล,หนองเป็ด,หนองเป็ด,เมืองยโสธร,ยโสธร,"1,627.15",2549,สจป.7 สาขาอุบลราชธานี,องค์การบริหารส่วนตำบลหนองเป็ด,15.854668,104.3104254,45,,https://drive.google.com/file/d/1Hp1iGxDEO4OCLpfLZ2hUoYINTBlK9JCU/view?usp=drive_link,https://drive.google.com/file/d/1URdplBz7LnrRZEz6vQ2caJzhlJCd63xP/view?usp=drive_link
1620,องค์การบริหารส่วนตำบล,หนองหิน,หนองหิน,เมืองยโสธร,ยโสธร,"2,738.21",2549,สจป.7 สาขาอุบลราชธานี,องค์การบริหารส่วนตำบลหนองหิน,15.8554802,104.2817973,50,,https://drive.google.com/file/d/1wx-eMCJH48OgZHVvhS3eHbnIYGDuiBcW/view?usp=drive_link,https://drive.google.com/file/d/1XKmrg_rIhRiGN3t_v8C1ckX2OmmkL2aw/view?usp=drive_link
1621,เทศบาลตำบล,กุดเชียงหมี,กุดเชียงหมี,เลิงนกทา,ยโสธร,"19,417.73",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลกุดเชียงหมี,16.2706098,104.4844446,50,,,
1622,เทศบาลตำบล,กุดแห่,กุดแห่,เลิงนกทา,ยโสธร,"1,995.46",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลกุดแห่,16.27664206,104.5204926,50,,,
1623,เทศบาลตำบล,โคกสำราญ,โคกสำราญ,เลิงนกทา,ยโสธร,310.42,2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลโคกสำราญ,16.1644786,104.5789562,0,,,
1624,เทศบาลตำบล,บุ่งค้า,บุ่งค้า,เลิงนกทา,ยโสธร,"26,458.70",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลบุ่งค้า,16.1674835,104.6407581,50,,,
1625,เทศบาลตำบล,ศรีแก้ว,ศรีแก้ว,เลิงนกทา,ยโสธร,"16,293.40",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลศรีแก้ว,16.16703208,104.3720591,50,,,
1626,เทศบาลตำบล,สร้างมิ่ง,สร้างมิ่ง,เลิงนกทา,ยโสธร,210.22,2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลสร้างมิ่ง,16.1043446,104.5173882,0,,,
1627,เทศบาลตำบล,สวาท,สวาท,เลิงนกทา,ยโสธร,"2,688.00",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลสวาท,16.190072,104.516485,45,,,
1628,เทศบาลตำบล,หนองสองห้อง,สามแยก,เลิงนกทา,ยโสธร,"3,309.77",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลหนองสองห้อง,16.1991745,104.5307454,50,,,
1629,เทศบาลตำบล,ห้องแซง,ห้องแซง,เลิงนกทา,ยโสธร,"12,419.05",2555,สจป.7 สาขาอุบลราชธานี,เทศบาลตำบลห้องแซง,16.26855217,104.4059327,50,,,
1630,องค์การบริหารส่วนตำบล,กรงปินัง,กรงปินัง,กรงปินัง,ยะลา,"8,060.77",2554,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลกรงปินัง,6.4418233,101.2770641,0,https://drive.google.com/file/d/1lQn_M8AwRi977NxJxwsXErd4FYCpnHrE/view?usp=drive_link,,
1631,องค์การบริหารส่วนตำบล,สะเอะ,สะเอะ,กรงปินัง,ยะลา,"2,321.25",2554,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลสะเอะ,6.405420497,101.2454295,0,https://drive.google.com/file/d/17Eead9URvScSkXnE6BDc7dKuA7mdyxP9/view?usp=drive_link,,
1632,องค์การบริหารส่วนตำบล,ห้วยกระทิง,ห้วยกระทิง,กรงปินัง,ยะลา,"10,045.73",2554,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลห้วยกระทิง,6.3250078,101.2596104,5,https://drive.google.com/file/d/1-6S3Yiv4h7dSV12bv5f425FPazTzUWxJ/view?usp=drive_link,,
1633,องค์การบริหารส่วนตำบล,บาละ,บาละ,กาบัง,ยะลา,"133,724.77",2554,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลบาละ,6.3751784,101.0416523,5,https://drive.google.com/file/d/1UDPwXaIvkSpMdmaq6o6w3rS5aVDzfzXy/view?usp=drive_link,,
1634,องค์การบริหารส่วนตำบล,บันนังสตา,บันนังสตา,บันนังสตา,ยะลา,"25,346.58",2565,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลบันนังสตา,6.256287439,101.249249,0,,,
1635,เทศบาลตำบล,ธารน้ำทิพย์,ธารน้ำทิพย์,เบตง,ยะลา,"4,547.81",2559,สจป.13 สาขานราธิวาส,เทศบาลตำบลธารน้ำทิพย์,5.7614937,101.0836771,5,https://drive.google.com/file/d/1QDrJUWa1fzBlmN9x0Br2xNXpEtTXxjBA/view?usp=drive_link,,
1636,องค์การบริหารส่วนตำบล,ลำพะยา,ลำพะยา,เมืองยะลา,ยะลา,"8,719.42",2550,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลลำพะยา,6.58061,101.16593,0,,https://drive.google.com/file/d/1ayOjPHaZwwQqDdqteMo23uxwkOP8SbdN/view?usp=drive_link,https://drive.google.com/file/d/1ZA-llibfJiVcXelZcptWmTWHy7Ot4RNH/view?usp=drive_link
1637,องค์การบริหารส่วนตำบล,กาตอง,กาตอง,ยะหา,ยะลา,"2,370.12",2566,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลกาตอง,6.5032,101.082,0,,,
1638,องค์การบริหารส่วนตำบล,บาโงยซิแน,บาโงยซิแน,ยะหา,ยะลา,859.58,2559,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลบาโงยซิแน,6.520937,101.158651,0,https://drive.google.com/file/d/12u_RE7ej1TggpaQ-DVqee3_yBc59KoSk/view?usp=drive_link,,
1639,เทศบาลตำบล,ปะแต,ปะแต,ยะหา,ยะลา,"127,387.13",2559,สจป.13 สาขานราธิวาส,เทศบาลตำบลปะแต,6.4139494,101.1362989,0,https://drive.google.com/file/d/1Q71IUHXQmedJW2C2uiBEXPZy0VMq38bV/view?usp=drive_link,,
1640,องค์การบริหารส่วนตำบล,กายูบอเกาะ,กายูบอเกาะ,รามัน,ยะลา,219.15,2559,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลกายูบอเกาะ,6.4761423,101.4071557,0,https://drive.google.com/file/d/18vGWX25Rr59gp00jDVvfxQR2EI9zkFRX/view?usp=drive_link,,
1641,องค์การบริหารส่วนตำบล,กาลอ,กาลอ,รามัน,ยะลา,"13,622.88",2559,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลกาลอ,6.395741,101.3748606,0,https://drive.google.com/file/d/1g3XYMWBd9e0GpA_xkvxDsfAltGg0bc2X/view?usp=drive_link,,
1642,เทศบาลตำบล,โกตาบารู,โกตาบารู,รามัน,ยะลา,508.19,2550,สจป.13 สาขานราธิวาส,เทศบาลตำบลโกตาบารู,6.458505,101.354209,0,,https://drive.google.com/file/d/16Fl3WIZpIXQdP3YmKbRzfuCkriwthTRh/view?usp=drive_link,https://drive.google.com/file/d/1Z-BOlXgTW1yFrmkDcLfc0PXeoz3URRnM/view?usp=drive_link
1643,เทศบาลตำบล,บาลอ,บาลอ,รามัน,ยะลา,"5,660.07",2554,สจป.13 สาขานราธิวาส,เทศบาลตำบลบาลอ,6.444417,101.4503529,0,https://drive.google.com/file/d/1B4GXciENNA2B2ReNAoDBV-oNkjLyCZlS/view?usp=drive_link,,
1644,องค์การบริหารส่วนตำบล,บือมัง,บือมัง,รามัน,ยะลา,"8,608.20",2554,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลบือมัง,6.4157736,101.3556732,0,https://drive.google.com/file/d/1roTkFtfgxa6_8MbsBQzJwWR-fnMZVzb0/view?usp=drive_link,,
1645,องค์การบริหารส่วนตำบล,ยะต๊ะ,ยะต๊ะ,รามัน,ยะลา,"3,082.45",2554,สจป.13 สาขานราธิวาส,องค์การบริหารส่วนตำบลยะต๊ะ,6.431890542,101.3676189,0,https://drive.google.com/file/d/1pQTVJ8zsO1xc9fIYGoX7KOsu0D1X-6Fg/view?usp=drive_link,,
1646,เทศบาลตำบล,เหล่า,เหล่า,ทุ่งเขาหลวง,ร้อยเอ็ด,"2,183.56",2554,สจป.7 ขอนแก่น,เทศบาลตำบลเหล่า,15.9718476,103.830687,45,https://drive.google.com/file/d/1iQMXK_kXbgNNleBWjfjs9bs6yLi-iPqB/view?usp=drive_link,,
1647,เทศบาลตำบล,อุ่มเม้า,อุ่มเม้า,ธวัชบุรี,ร้อยเอ็ด,"3,833.79",2554,สจป.7 ขอนแก่น,เทศบาลตำบลอุ่มเม้า,16.030517,103.7776374,45,https://drive.google.com/file/d/1nLNiu5Kep2cURKtgbX6Tlv6IBIyCXpva/view?usp=sharing,,
1648,องค์การบริหารส่วนตำบล,กุดน้ำใส,กุดน้ำใส,พนมไพร,ร้อยเอ็ด,"2,191.02",2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลกุดน้ำใส,15.7642838,104.0659601,50,,https://drive.google.com/file/d/1AFEQ-DccSjtOYuVak7z_ENdjzXHoXYMQ/view?usp=drive_link,https://drive.google.com/file/d/125PQlZH3LLl2TAlNpYb7wt61xLWvGpu-/view?usp=drive_link
1649,องค์การบริหารส่วนตำบล,โคกสว่าง,โคกสว่าง,พนมไพร,ร้อยเอ็ด,"8,037.40",2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลโคกสว่าง,15.6415714,104.0953227,50,,https://drive.google.com/file/d/1N4to2ZC1ciQp9FSXHHn7VWHshsplrTqw/view?usp=drive_link,https://drive.google.com/file/d/1TxinPOJLUcdSinBXgt-tyrld7yJjf4ZN/view?usp=drive_link
1650,เทศบาลตำบล,โพธิ์ชัย,โพธิ์ชัย,พนมไพร,ร้อยเอ็ด,29.34,2548,สจป.7 ขอนแก่น,เทศบาลตำบลโพธิ์ชัย,15.59637737,104.0982485,45,,https://drive.google.com/file/d/19x8HqLG328sJrnWeBoucsrcRVKYBCB8l/view?usp=drive_link,https://drive.google.com/file/d/1f8lsY_0KpR1N9sC_D6MKT8UF1JsIub7a/view?usp=sharing
1651,องค์การบริหารส่วนตำบล,โพธิ์ใหญ่,โพธิ์ใหญ่,พนมไพร,ร้อยเอ็ด,"5,501.12",2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลโพธิ์ใหญ่,15.725816,104.0388266,50,,https://drive.google.com/file/d/1-PdAjAkP2VvbxYDB4brzfzfMLWNR9YhF/view?usp=drive_link,https://drive.google.com/file/d/10BwlqyET5gNBCNMGQbTpUmh90JY9408R/view?usp=drive_link
1652,เทศบาลตำบล,คำพอุง,คำพอุง,โพธิ์ชัย,ร้อยเอ็ด,"16,312.33",2548,สจป.7 ขอนแก่น,เทศบาลตำบลคำพอุง,16.3755284,103.8289769,50,,https://drive.google.com/file/d/1l1KTQE94ujtsrltjf8HmkYeOeeovazq-/view?usp=drive_link,https://drive.google.com/file/d/1fuAeV1DpBEhr3z9p3L1miveZND7nqcT4/view?usp=drive_link
1653,เทศบาลตำบล,อัคคะคำ,อัคคะคำ,โพธิ์ชัย,ร้อยเอ็ด,"1,981.61",2548,สจป.7 ขอนแก่น,เทศบาลตำบลอัคคะคำ,16.3809965,103.7545866,50,,https://drive.google.com/file/d/1UM7uq84qWRXkLa1k_9yO9EZh7Zs8waMQ/view?usp=drive_link,https://drive.google.com/file/d/1nFLvVRZyGkr6CWAXQBoYX_N7oaJAWskt/view?usp=drive_link
1654,องค์การบริหารส่วนตำบล,คำนาดี,คำนาดี,โพนทอง,ร้อยเอ็ด,654.45,2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลคำนาดี,16.3959641,103.9292567,0,,https://drive.google.com/file/d/10VL2sQHGaehHNi2NM7TdD2nKizuugmHx/view?usp=drive_link,https://drive.google.com/file/d/1fsTJ3RUYIHrMBUNHvqSC4fSw14QfEs0z/view?usp=drive_link
1655,เทศบาลตำบล,โคกกกม่วง,โคกกกม่วง,โพนทอง,ร้อยเอ็ด,"1,532.21",2548,สจป.7 ขอนแก่น,เทศบาลตำบลโคกกกม่วง,16.1684527,104.0297998,0,,https://drive.google.com/file/d/1fquLlUOFzXLGjJ0OECPYJUGvPDqvtnA_/view?usp=drive_link,https://drive.google.com/file/d/1OIgvysrUZm1-UMlijCc5EemGaJrGzMkS/view?usp=drive_link
1656,องค์การบริหารส่วนตำบล,พรมสวรรค์,พรมสวรรค์,โพนทอง,ร้อยเอ็ด,587.66,2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลพรมสวรรค์,16.1966018,104.0722727,45,https://drive.google.com/file/d/1mEcy16fniC1T5fPYuHnxiM6zMP8DvjeJ/view?usp=drive_link,,
1657,องค์การบริหารส่วนตำบล,หนองใหญ่,หนองใหญ่,โพนทอง,ร้อยเอ็ด,0,2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลหนองใหญ่,16.4057378,103.9982055,0,,https://drive.google.com/file/d/1l_liB7ZatdB4zi_1Vks3a9fErJCBWqFd/view?usp=drive_link,https://drive.google.com/file/d/1lLDo49NNCEHaFTy5pQiudt5xSkLUMM0Q/view?usp=drive_link
1658,เทศบาลตำบล,เมยวดี,เมยวดี,เมยวดี,ร้อยเอ็ด,237.67,2554,สจป.7 ขอนแก่น,เทศบาลตำบลเมยวดี,16.3898233,104.1546187,45,https://drive.google.com/file/d/1HYC8123-NwzASc3fk7GElE3q6n9a8DC5/view?usp=drive_link,,
1659,เทศบาลตำบล,ท่าม่วง,ท่าม่วง,เสลภูมิ,ร้อยเอ็ด,"1,357.11",2554,สจป.7 ขอนแก่น,เทศบาลตำบลท่าม่วง,16.1148263,103.8740297,45,https://drive.google.com/file/d/1AXCFHuNgdn4AY1b86XaWxuYFQPd5ddoe/view?usp=drive_link,,
1660,องค์การบริหารส่วนตำบล,โพธิ์ทอง,โพธิ์ทอง,เสลภูมิ,ร้อยเอ็ด,384.07,2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลโพธิ์ทอง,16.127488,104.1147622,45,https://drive.google.com/file/d/1dPxAhXanJqDOX_SCSRCyze5xvdRHvXx2/view?usp=drive_link,,
1661,องค์การบริหารส่วนตำบล,ภูเงิน,ภูเงิน,เสลภูมิ,ร้อยเอ็ด,186.7,2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลภูเงิน,16.058434,104.04959,45,,https://drive.google.com/file/d/1BkQhqWozmF7mlZqFHMm-ZgAZlHpcY7JR/view?usp=drive_link,https://drive.google.com/file/d/1Ritq1uOSNAYEAn4_OvKTMRqN3g93GRJw/view?usp=drive_link
1662,องค์การบริหารส่วนตำบล,กกโพธิ์,กกโพธิ์,หนองพอก,ร้อยเอ็ด,"4,488.84",2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลกกโพธิ์,16.31297293,104.1306388,50,,https://drive.google.com/file/d/1LSbMjD_v0q4owpjLX-IRlCbi0724_3pa/view?usp=drive_link,https://drive.google.com/file/d/1voruof9UTZihy7zQKFKbt9MAhkJh0D0U/view?usp=drive_link
1663,องค์การบริหารส่วนตำบล,โคกสว่าง,โคกสว่าง,หนองพอก,ร้อยเอ็ด,"8,206.61",2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลโคกสว่าง,16.3040053,104.2721321,50,,https://drive.google.com/file/d/1lyeUT5nxxwTLwHpTFK97p3NF_CMiCJVB/view?usp=drive_link,https://drive.google.com/file/d/1VjDNPO8mMeWfYJDff7M-zQ_zTDgoSPTl/view?usp=drive_link
1664,เทศบาลตำบล,ท่าสีดา,ท่าสีดา,หนองพอก,ร้อยเอ็ด,"2,559.74",2548,สจป.7 ขอนแก่น,เทศบาลตำบลท่าสีดา,16.229179,104.204636,50,,https://drive.google.com/file/d/1INyV2HN89JF3MbDIfajruxieWvZCEkc1/view?usp=drive_link,https://drive.google.com/file/d/1S71XGB_vZkfebSfsubx5U8JlRCfePz27/view?usp=drive_link
1665,องค์การบริหารส่วนตำบล,บึงงาม,บึงงาม,หนองพอก,ร้อยเอ็ด,"4,565.51",2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลบึงงาม,16.3407816,104.2568711,45,https://drive.google.com/file/d/1Ht5VQ6Qj1CBTAM9pcbj4sxheJkzlvvuq/view?usp=drive_link,,
1666,เทศบาลตำบล,ผาน้ำย้อย,ผาน้ำย้อย,หนองพอก,ร้อยเอ็ด,"2,018.91",2554,สจป.7 ขอนแก่น,เทศบาลตำบลผาน้ำย้อย,16.3189613,104.314405,50,https://drive.google.com/file/d/1sb6aIsmjsXVNv0qbuUyNXaJeP4PxuLbK/view?usp=drive_link,,
1667,เทศบาลตำบล,ภูเขาทอง,ภูเขาทอง,หนองพอก,ร้อยเอ็ด,"2,345.50",2548,สจป.7 ขอนแก่น,เทศบาลตำบลภูเขาทอง,16.3987322,104.2483507,45,,https://drive.google.com/file/d/1LBYehJtBW9DtjCwMahXjjdKbFuvChoZ-/view?usp=drive_link,https://drive.google.com/file/d/1lfDbVckKPkgu-fUK5m_VurLXkXx0i1t5/view?usp=drive_link
1668,องค์การบริหารส่วนตำบล,รอบเมือง,รอบเมือง,หนองพอก,ร้อยเอ็ด,"9,746.41",2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลรอบเมือง,16.0241439,103.6371482,50,https://drive.google.com/file/d/1g_b4x9y0tAsvF-gfTe0oln_TITdJFQSW/view?usp=drive_link,,
1669,องค์การบริหารส่วนตำบล,หนองขุ่นใหญ่,หนองขุ่นใหญ่,หนองพอก,ร้อยเอ็ด,"1,452.49",2548,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลหนองขุ่นใหญ่,16.23062154,104.133482,50,,https://drive.google.com/file/d/1Lxv-W-dKOxqYtbjthAUh0RHHUQq9ivE8/view?usp=drive_link,https://drive.google.com/file/d/1QA7yw1bCqMvat9a6JfqxsYgpALX8h1Gd/view?usp=drive_link
1670,องค์การบริหารส่วนตำบล,ดูกอึ่ง,ดูกอึ่ง,หนองฮี,ร้อยเอ็ด,771.74,2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลดูกอึ่ง,15.54730665,104.0273094,45,https://drive.google.com/file/d/1oUPLJ81OYB7QqMmt8KGj7eAio9R8QTSE/view?usp=drive_link,,
1671,เทศบาลตำบล,หนองฮี,หนองฮี,หนองฮี,ร้อยเอ็ด,"4,312.28",2554,สจป.7 ขอนแก่น,เทศบาลตำบลหนองฮี,15.608733,103.989016,50,https://drive.google.com/file/d/1Onxao0FSxhTPNrzsPH7cyq0cjBHdV4pl/view?usp=drive_link,,
1672,เทศบาลตำบล,โพนเมือง,โพนเมือง,อาจสามารถ,ร้อยเอ็ด,"1,007.89",2554,สจป.7 ขอนแก่น,เทศบาลตำบลโพนเมือง,15.9152475,103.8699804,45,https://drive.google.com/file/d/1VfKv-_UvPwBQXoly0y2KKj0fYbWAL99T/view?usp=drive_link,,
1673,องค์การบริหารส่วนตำบล,หนองขาม,หนองขาม,อาจสามารถ,ร้อยเอ็ด,"2,525.21",2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลหนองขาม,15.8080937,103.8715339,50,https://drive.google.com/file/d/1BGFgsXhh7OmYoW8ma26pAbzWta9LBf6T/view?usp=drive_link,,
1674,เทศบาลตำบล,หนองหมื่นถ่าน,หนองหมื่นถ่าน,อาจสามารถ,ร้อยเอ็ด,"10,342.80",2554,สจป.7 ขอนแก่น,เทศบาลตำบลหนองหมื่นถ่าน,15.7540058,103.9181485,50,https://drive.google.com/file/d/1RMewtHy1PtVWR8Dvvycum7rgFc4grJlr/view?usp=drive_link,,
1675,องค์การบริหารส่วนตำบล,หน่อม,หน่อม,อาจสามารถ,ร้อยเอ็ด,7.43,2554,สจป.7 ขอนแก่น,องค์การบริหารส่วนตำบลหน่อม,15.8054046,103.9360289,0,https://drive.google.com/file/d/19loxBbYYcaep1vOFMyeXVG2zNM-FQRPt/view?usp=drive_link,,
1676,เทศบาลตำบล, จ.ป.ร.,จ.ป.ร.,กระบุรี,ระนอง,"30,365.69",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบล จ.ป.ร.,10.5278103,98.9027138,50,,,
1677,องค์การบริหารส่วนตำบล,น้ำจืด,น้ำจืด,กระบุรี,ระนอง,"11,814.33",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลน้ำจืด,10.3860654,98.77102,45,,,
1678,องค์การบริหารส่วนตำบล,น้ำจืดน้อย,น้ำจืดน้อย,กระบุรี,ระนอง,519.56,2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลน้ำจืดน้อย,10.4302072,98.7899656,45,,,
1679,องค์การบริหารส่วนตำบล,บางใหญ่,บางใหญ่,กระบุรี,ระนอง,"16,728.31",255,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลบางใหญ่,10.2964166,98.7669475,50,,,
1680,องค์การบริหารส่วนตำบล,ปากจั่น,ปากจั่น,กระบุรี,ระนอง,"14,413.13",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลปากจั่น,10.5204222,98.8313038,0,,,
1681,องค์การบริหารส่วนตำบล,มะมุ,มะมุ,กระบุรี,ระนอง,"14,535.92",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลมะมุ,10.4758509,98.811499,0,,,
1682,เทศบาลตำบล,ลำเลียง,ลำเลียง,กระบุรี,ระนอง,"55,198.32",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบลลำเลียง,10.3429694,98.7766714,45,,,
1683,องค์การบริหารส่วนตำบล,กะเปอร์,กะเปอร์,กะเปอร์,ระนอง,"2,947.03",2565,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลกะเปอร์,9.5818522,98.6011,0,,,
1684,องค์การบริหารส่วนตำบล,บางหิน,บางหิน,กะเปอร์,ระนอง,"8,114.15",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลบางหิน,9.5373369,98.5796482,0,,,
1685,องค์การบริหารส่วนตำบล,บ้านนา,บ้านนา,กะเปอร์,ระนอง,"5,521.00",2565,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลบ้านนา,9.5698337,98.7055049,0,https://drive.google.com/file/d/17j8dHh9ed6D--UfFLrPJCnKt-y5I2jbn/view?usp=drive_link,,
1686,องค์การบริหารส่วนตำบล,ม่วงกลวง,ม่วงกลวง,กะเปอร์,ระนอง,"2,404.42",2565,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลม่วงกลวง,9.606208429,98.54137659,0,,,
1687,องค์การบริหารส่วนตำบล,เกาะพยาม,เกาะพยาม,เมืองระนอง,ระนอง,"7,147.86",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลเกาะพยาม,9.743701,98.4211924,5,,,
1688,องค์การบริหารส่วนตำบล,ทรายแดง,ทรายแดง,เมืองระนอง,ระนอง,"6,469.34",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลทรายแดง,10.13701541,98.6891681,0,,,
1689,เทศบาลตำบล,บางนอน,บางนอน,เมืองระนอง,ระนอง,"7,935.51",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบลบางนอน,9.9922636,98.6506635,0,,,
1690,เทศบาลเมือง,บางริ้น,บางริ้น,เมืองระนอง,ระนอง,"3,690.25",2555,สจป.11 สุราษฎร์ธานี,เทศบาลเมืองบางริ้น,9.889473344,98.62760961,0,,,
1691,เทศบาลตำบล,ปากน้ำท่าเรือ,ปากน้ำ,เมืองระนอง,ระนอง,"6,062.17",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบลปากน้ำท่าเรือ,9.9912522,98.6120102,0,,,
1692,เทศบาลตำบล,ราชกรูด,ราชกรูด,เมืองระนอง,ระนอง,"12,154.24",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบลราชกรูด,9.7572533,98.5914962,0,,,
1693,องค์การบริหารส่วนตำบล,หงาว,หงาว,เมืองระนอง,ระนอง,"6,344.21",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลหงาว,9.8512095,98.6194906,0,,,
1694,องค์การบริหารส่วนตำบล,หาดส้มแป้น,หาดส้มแป้น,เมืองระนอง,ระนอง,"15,441.22",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลหาดส้มแป้น,9.952847,98.690467,5,,,
1695,เทศบาลตำบล,บางแก้ว,บางแก้ว,ละอุ่น,ระนอง,"23,732.19",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบลบางแก้ว,10.1790938,98.7122245,45,,,
1696,องค์การบริหารส่วนตำบล,บางพระเหนือ,บางพระเหนือ,ละอุ่น,ระนอง,"21,520.21",2555,สจป.11 สุราษฎร์ธานี,องค์การบริหารส่วนตำบลบางพระเหนือ,10.074902,98.7255331,45,,,
1697,เทศบาลตำบล,ละอุ่น,ละอุ่นใต้,ละอุ่น,ระนอง,"10,672.10",2555,สจป.11 สุราษฎร์ธานี,เทศบาลตำบลละอุ่น,10.1128177,98.7544908,0,,,
