ที่,ประเภท อปท.,ชื่อ,ตำบล,อำเภอ,จังหวัด,ป่าสงวนฯ,ปีที่ถ่ายโอนภารกิจ,พื้นที่รับผิดชอบ,ชื่อหน่วยงาน,lat,long,พื้นที่เสี่ยง,บันทึกกรมป่าไม้,บันทึกกรมอุทยาน,แผนที่
297,องค์การบริหารส่วนตำบล,ทุ่งพระ,ทุ่งพระ,คอนสาร,ชัยภูมิ,"22,451.80",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลทุ่งพระ,16.62521279,101.851995,50,https://drive.google.com/file/d/1IchD2jQP7aSWqUpBhVrvsEkEPW1YtBl3/view?usp=drive_link,,
298,เทศบาลตำบล,ทุ่งลุยลาย,ทุ่งลุยลาย,คอนสาร,ชัยภูมิ,"50,297.42",2555,สจป.8 นครราชสีมา,เทศบาลตำบลทุ่งลุยลาย,15.81339576,102.1124268,50,https://drive.google.com/file/d/1DL5rYnyou0h2a53glIKiOB0L2_2Un-wD/view?usp=drive_link,,
299,เทศบาลตำบล,ห้วยยาง,ห้วยยาง,คอนสาร,ชัยภูมิ,"12,379.22",2550,สจป.8 นครราชสีมา,เทศบาลตำบลห้วยยาง,16.5517795,101.9076735,50,,https://drive.google.com/file/d/1lTJ-_0uI4aOxWxPt21AH4G6ARNR8yBiL/view?usp=drive_link,https://drive.google.com/file/d/1_Kn7axPgjA8R8RnSBssLvfVT7h6wgfU0/view?usp=drive_link
300,องค์การบริหารส่วนตำบล,บ้านกอก,บ้านกอก,จัตุรัส,ชัยภูมิ,73.39,2550,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลบ้านกอก,15.54269663,101.8565735,0,,https://drive.google.com/file/d/1YZxn8qCeL_p3QKOaau2tMFYgawtPCOug/view?usp=drive_link,https://drive.google.com/file/d/1GSDE1F4TdJO4CKrEA_mkPPAoqQ95fb2e/view?usp=drive_link
301,องค์การบริหารส่วนตำบล,หนองบัวโคก,หนองบัวโคก,จัตุรัส,ชัยภูมิ,"2,191.56",2550,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลหนองบัวโคก,15.46954241,101.8484855,5,,https://drive.google.com/file/d/1Bct8tlh3e_BMi_aO5jIW60rQL9i-ihAh/view?usp=drive_link,https://drive.google.com/file/d/1-YZAp-hmZQSHwtNlxP-THgBr3MB9T0vA/view?usp=drive_link
302,องค์การบริหารส่วนตำบล,ซับใหญ่,ซับใหญ่,ซับใหญ่,ชัยภูมิ,"20,151.13",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลซับใหญ่,15.644197,101.578903,50,https://drive.google.com/file/d/18pJornLX-lr3F5lMGMSDZC481dwCfeKf/view?usp=drive_link,,
303,องค์การบริหารส่วนตำบล,ท่ากูบ,ท่ากูบ,ซับใหญ่,ชัยภูมิ,"6,488.43",2550,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลท่ากูบ,15.64551901,101.721382,50,,https://drive.google.com/file/d/1diHRJw_TOHbpNtVC_m6xrA0Qjr5KPEyK/view?usp=drive_link,https://drive.google.com/file/d/1zTDMMX4BDOK1fvLflBawdHOlb98nNAJ9/view?usp=drive_link
304,องค์การบริหารส่วนตำบล,นายางกลัก,นายางกลัก,เทพสถิต,ชัยภูมิ,"62,193.02",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลนายางกลัก,15.660919,101.497917,55,https://drive.google.com/file/d/1l6nUiH8aqFoKexLG9T6FSfiwxamkFaYJ/view?usp=drive_link,,
305,องค์การบริหารส่วนตำบล,บ้านไร่,บ้านไร่,เทพสถิต,ชัยภูมิ,"23,461.19",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลบ้านไร่,15.53875,101.41705,50,https://drive.google.com/file/d/10ypI9gAR5XgeBNPVyWavhg3DdiKqXXCS/view?usp=drive_link,,
306,องค์การบริหารส่วนตำบล,โป่งนก,โป่งนก,เทพสถิต,ชัยภูมิ,"33,516.01",2555,สจป.8 นครราชสีมา,องค์การบริหารส่วนตำบลโป่งนก,15.75921448,101.5377045,50,https://drive.google.com/file/d/1con9EM6XJkN2OfbH6_oW1Mt2zEkyoGu4/view?usp=drive_link,,
